# t  x  y  vx  vy  r  v  Ekin  Epot  Etot (energiad per 1 kg)
# vfactor =   1.20 ; V1 (m/s) =   7.2086E+03
   1.000000E+00   6.251796E+06   8.650367E+03  -8.311920E+00   8.650362E+03   6.251802E+06   8.650366E+03   3.741442E+07  -5.196447E+07  -1.455005E+07
   2.000000E+00   6.251784E+06   1.730072E+04  -1.662381E+01   8.650345E+03   6.251808E+06   8.650361E+03   3.741438E+07  -5.196442E+07  -1.455004E+07
   3.000000E+00   6.251762E+06   2.595105E+04  -2.493566E+01   8.650316E+03   6.251816E+06   8.650353E+03   3.741430E+07  -5.196435E+07  -1.455005E+07
   4.000000E+00   6.251734E+06   3.460135E+04  -3.324742E+01   8.650276E+03   6.251829E+06   8.650340E+03   3.741419E+07  -5.196424E+07  -1.455006E+07
   5.000000E+00   6.251696E+06   4.325160E+04  -4.155908E+01   8.650225E+03   6.251846E+06   8.650324E+03   3.741406E+07  -5.196410E+07  -1.455005E+07
   6.000000E+00   6.251650E+06   5.190180E+04  -4.987062E+01   8.650161E+03   6.251866E+06   8.650305E+03   3.741388E+07  -5.196394E+07  -1.455005E+07
   7.000000E+00   6.251596E+06   6.055192E+04  -5.818200E+01   8.650086E+03   6.251890E+06   8.650281E+03   3.741368E+07  -5.196374E+07  -1.455006E+07
   8.000000E+00   6.251534E+06   6.920197E+04  -6.649320E+01   8.650000E+03   6.251917E+06   8.650256E+03   3.741346E+07  -5.196351E+07  -1.455005E+07
   9.000000E+00   6.251464E+06   7.785192E+04  -7.480420E+01   8.649902E+03   6.251948E+06   8.650226E+03   3.741320E+07  -5.196325E+07  -1.455005E+07
   1.000000E+01   6.251384E+06   8.650177E+04  -8.311496E+01   8.649793E+03   6.251983E+06   8.650192E+03   3.741292E+07  -5.196296E+07  -1.455005E+07
   1.100000E+01   6.251297E+06   9.515151E+04  -9.142547E+01   8.649672E+03   6.252022E+06   8.650155E+03   3.741259E+07  -5.196264E+07  -1.455005E+07
   1.200000E+01   6.251202E+06   1.038011E+05  -9.973569E+01   8.649540E+03   6.252064E+06   8.650115E+03   3.741225E+07  -5.196229E+07  -1.455004E+07
   1.300000E+01   6.251098E+06   1.124506E+05  -1.080456E+02   8.649396E+03   6.252109E+06   8.650071E+03   3.741187E+07  -5.196192E+07  -1.455005E+07
   1.400000E+01   6.250986E+06   1.210999E+05  -1.163552E+02   8.649241E+03   6.252158E+06   8.650023E+03   3.741145E+07  -5.196150E+07  -1.455005E+07
   1.500000E+01   6.250865E+06   1.297491E+05  -1.246644E+02   8.649074E+03   6.252212E+06   8.649973E+03   3.741101E+07  -5.196106E+07  -1.455005E+07
   1.600000E+01   6.250736E+06   1.383980E+05  -1.329733E+02   8.648896E+03   6.252268E+06   8.649918E+03   3.741054E+07  -5.196060E+07  -1.455006E+07
   1.700000E+01   6.250599E+06   1.470468E+05  -1.412817E+02   8.648707E+03   6.252328E+06   8.649861E+03   3.741005E+07  -5.196009E+07  -1.455004E+07
   1.800000E+01   6.250454E+06   1.556955E+05  -1.495897E+02   8.648506E+03   6.252392E+06   8.649800E+03   3.740952E+07  -5.195956E+07  -1.455004E+07
   1.900000E+01   6.250300E+06   1.643439E+05  -1.578972E+02   8.648293E+03   6.252460E+06   8.649733E+03   3.740894E+07  -5.195900E+07  -1.455006E+07
